Number,Korean,Translation,Translation2,WordType,
1068,쳐다보다,To look up at,,8,
1069,충분히,"Enough, sufficiently",,5,
1070,신체,The body,,1,
1071,에너지,Energy,,1,
1072,위원,A member of a committee,,1,
1073,정리하다,To adjust,,8,
1074,집안,Inside the house,,1,
1075,배경,Background,,1,
1076,죽이다,To kill,,8,
1077,단순하다,Be simple-minded,,9,
1078,반대,Opposite and being opposed to (objecting to),,1,
1079,법칙,"A law, a rule",,1,
1080,빠지다,"To indulge in, be addicted to",,8,
1081,소금,Salt,,1,
1082,오염,"Contamination, pollution",,1,
1083,자전거,Bicycle,,1,
1084,참여하다,"To participate in, take part in",,8,
1085,탓,"fault,blame",,1,
1086,푸르다,"To be blue, to be green",,9,
1087,걔,Child,,2,
1088,그래,Yes or that’s right,,6,
1089,목,The neck,,1,
1090,발표,Announcement,,1,
1091,범죄,A crime,,1,
1092,위,"Position, grade, rank",,1,
1093,흔들다,"Shake, sway",,8,
1094,기초,The foundation,,1,
1095,논리,Logic,,1,
1096,뽑다,"Pull out, draw",,8,
1097,피우다,"To make, build, kindle",,8,
1098,감각,Sense or sensation or feeling,,1,
1099,미리,Beforehand,,5,
1100,부족하다,"Be short of, lack",,9,
1101,저희,We,,2,
1102,진행되다,"To have progressed, be advanced",,8,
1103,교통,Traffic or transportation,,1,
1104,기구,Structure or framework,,1,
1105,법,"A way, a method",,1,
1106,오랜,For a long time,,4,
1107,젊은이,Young person,,1,
1108,후보,"candidature,candidacy",,1,
1109,거리,A road or street,,1,
1110,과제,"A subject or a thesis or homework, an exercise/a problem",,1,
1111,근거,Basis or foundation,,1,
1112,기록하다,To record and write down,,8,
1113,다가오다,Approach,,8,
1114,불다,Blow,,8,
1115,시각,angle/point of view. 관점.,,1,
1116,이끌다,"To guide,lead",,8,
1117,종합,Synthesis,,1,
1118,한글,Korean writing system,,1,
1119,가을,Autumn or fall,,1,
1120,개발하다,Develop or exploit or open up to development,,8,
1121,내일,Tomorrow,,1,
1122,매일,Every day,,1,
1123,손가락,a finger,,1,
1124,수단,"means,way",,1,
1125,자,Well!!,,6,
1126,자유롭다,To be free,,9,
1127,적극적,Positively,,4,
1128,판매,"Sale, selling",,1,
1129,형성,Formation,,1,
1130,기울이다,Tip or slant or incline,,8,
1131,길이,Length or extent,,1,
1132,장면,"A scene, situation",,1,
1133,점차,"gradually,in steps",,5,
1134,톤,A ton,,1,
1135,관련되다,Be connected or related to,,8,
1136,급,Class or grade or rank,,1,
1137,나머지,"The rest, the remainder ; as a result of the excess of, as a result",,1,
1138,날씨,Weather,,1,
1139,더불다,"Join in, do together",,8,
1140,의사,"A doctor, a physician",,1,
1141,개방,Open or throw open,,1,
1142,건강하다,To be healthy,,9,
1143,미래,Future,,1,
1144,앞서,"Before, previously 2) in anticipation,beforehand",,5,
1145,여러분,"You (plural, to address a group at speech time)",,2,
1146,왜냐하면,Because,,5,
1147,인구,Population,,1,
1148,기대하다,To expect or look forward to,,8,
1149,네,You,,2,
1150,도착하다,To arrive,,8,
1151,병,Sickness,,1,
1152,소프트웨어,Software,,1,
1153,흘리다,"spill,shed (tears,blood)",,8,
1154,반응,Reaction,,1,
1155,주인공,"The head of a family, the hero/heroine",,1,
1156,당연하다,"Be natural, be no wonder",,9,
1157,비판,"criticism,a comment",,1,
1158,빌리다,To lend,,8,
1159,세대,Generation,,1,
1160,축구,Football,,1,
1161,형님,"The respectful, proper way a man refers to an older friend",,1,
1162,놓이다,Be put on sth else (2) to become peaceful,,8,
1163,당장,"On the spot, immediately",,5,
1164,무렵,The time when,,1,
1165,밝다,To be promising,,9,
1166,사물,"objects,things",,1,
1167,일반적,"Universal, general",,4,
1168,장소,Place,,1,
1169,곱다,Beautiful,,9,
1170,바닥,Floor,,1,
1171,새끼,Baby animal,,1,
1172,생각되다,To come to think sth,,8,
1173,서비스,Service,,1,
1174,선택하다,To choose,,8,
1175,심다,"plant,sow (a tree)",,8,
1176,적다,Write down,,8,
1177,코,The nose,,1,
1178,간단하다,To be simple,,9,
1179,고등학교,A senior high school,,1,
1180,공개,"opening to the public, making public",,1,
1181,교실,Classroom,,1,
1182,스스로,"By oneself, do it alone",,5,
1183,견디다,Endure or bear,,8,
1184,기사,An article or an account,,1,
1185,막히다,Be stopped up,,8,
1186,매체,"A medium,medias",,1,
1187,별,A star,,1,
1188,복잡하다,Be complicated,,9,
1189,뿌리다,"sprinkle,scatter",,8,
1190,영역,Territory,,1,
1191,체험,An experience,,1,
1192,구속,To arrest or put in detention,,1,
1193,어쩌면,"(1) it is possible that 아마도 2) how on earth, how the hell",,5,
1194,극복하다,To overcome or surmount,,8,
1195,불법,Illegal,,1,
1196,비밀,A secret,,1,
1197,색,Color,,1,
1198,쓰이다,"To be used, to be utilized/employed",,8,
1199,일정하다,"To be regular, established, uniform ; changeless, constant, certain, definite ; invariable (mathematics)",,9,
1200,다지다,"Make sure, to harden oneself, firm up one\\`s will",,8,
1201,아까,A little while ago,,5,
1202,알맞다,"To fit, be fitting, suitable",,9,
1203,이념,"An idea, a doctrine, ideology",,1,
1204,희다,"White, fair",,9,
1205,가리키다,Point to or indicate,,8,
1206,모시다,Attend on,,8,
1207,발달,"Development, growth",,1,
1208,수많다,Many and many,,9,
1209,치르다,"Pay off, pay one’s bill",,8,
1210,평화,Peace,,1,
1211,공사,Construction work or engineering work,,1,
1212,박사,Doctor,,1,
1213,성,"a sex (male or female), a sexual gender",,1,
1214,전문가,A specialist,,1,
1215,단지,"Simple, merely",,5,
1216,말씀하다,Speak,,8,
1217,무용,"dancing,a dance",,1,
1218,불리다,To be called,,8,
1219,싸움,A fight,,1,
1220,자꾸,"Constantly, repeatedly",,5,
1221,차리다,"Make ready,prepare",,8,
1222,해외,"Abroad, foreign countries",,1,
1223,그리,So or to that extent,,5,
1224,문화재,Cultural assets,,1,
1225,미소,Smile,,1,
1226,보통,The normal,,1,
1227,식당,Restaurant,,1,
1228,의미하다,"To mean, signify",,8,
1229,이래,"Since, after that, hereafter",,5,
1230,체육,Physical education,,1,
1231,구성되다,To be organized,,8,
1232,독특하다,"Unique, characteristic, distinctive, peculiar, specific",,9,
1233,사례,"thanks,gratitude",,1,
1234,소개하다,"To introduce,present",,8,
1235,잘되다,To turn out well,,8,
1236,추진하다,"To propel, drive forward",,8,
1237,칠월,Month of July,,1,
1238,틀,"A frame, framework; mold",,1,
1239,평균,Average,,1,
1240,훈련,Training,,1,
1241,흐름,"Flowing, a stream/current",,1,
1242,십이월,December,,1,
1243,쌓이다,Be piled/heaped up,,8,
1244,이익,Profit,,1,
1245,쥐다,"To hold,seize",,8,
1246,컵,Cup,,1,
1247,게다가,In addition,,5,
1248,끓이다,Boil or heat or make hot,,8,
1249,논문,"Dissertations , an academic paper (these are 2 separate meanings)",,1,
1250,멈추다,Stop,,8,
1251,사용되다,"Be used, be employed",,8,
1252,오랫동안,For a long time,,5,
1253,위기,"A crisis,an emergency situation",,1,
1254,정당,A political party,,1,
1255,종이,Paper,,1,
1256,찾아가다,To go to a place to meet somebody,,8,
1257,폭력,"voilent,brute force",,1,
1258,혹시,Sometimes,,5,
1259,늘다,"Increase, gain",,8,
1260,양,"quantity,volume",,1,
1261,절차,"process,formalities; 수속",,1,
1262,계시다,(honorofic) to stay or reside,,8,
1263,공기,Air,,1,
1264,닿다,"To reach, get to",,8,
1265,속하다,"Belong to, be affiliated with",,8,
1266,올림픽,Olympic,,1,
1267,이외,"Except, apart from",,1,
1268,재미,"amusement,enjoyment",,1,
1269,제공하다,"offer,proffer",,8,
1270,증가하다,"increase,rise,grow",,8,
1271,기대,Expectation,,1,
1272,식물,"food,provisions",,1,
1273,옛,"Old, ancient",,4,
1274,외치다,"To shout, scream",,8,
1275,적어도,At the least,,5,
1276,편하다,Untroubled from cares,,9,
1277,평,"a Pyeong, a square area about 2 square meters",,1,
1278,권리,A right or a claim to,,1,
1279,끝내다,To end,,8,
1280,대답,An answer,,1,
1281,시작,The beginning,,1,
1282,어려움,"difficulty, hardship",,1,
1283,일주일,One whole day,,1,
1284,자원,Resources,,1,
1285,춤,Dance,,1,
1286,넘기다,"Pass over, send across",,8,
1287,물체,A material body,,1,
1288,분명히,Obviously,,5,
1289,시위,A demonstration,,1,
1290,아무것,Anything,,2,
1291,온,"All, whole, entire",,4,
1292,젖다,"To be wet, soaked",,8,
1293,제외하다,To exclude,,8,
1294,최대,"The greatest, the largest",,1,
1295,평소,"Ordinary times, ordinarily",,1,
1296,견해,An opinion or view. Same as 의견,,1,
1297,깨끗하다,To be clean or pure,,9,
1298,농사,Farming,,1,
1299,안정,Stability,,1,
1300,어둠,Darkness,,1,
1301,어둡다,"To be dark, dim, gloomy",,9,
1302,어쨌든,"In any case, anyhow",,5,
1303,주택,A house,,1,
1304,고장,A district or producing area,,1,
1305,관련하다,To be related to or connected to,,8,
1306,눈길,Line of vision,,1,
1307,물어보다,Ask,,8,
1308,미안하다,To be sorry,,9,
1309,밀다,"push, shove",,8,
1310,스트레스,Stress,,1,
1311,음,"Sound you make to express doubt, worry",,6,
1312,인사,"People, men of society",,1,
1313,주어지다,"To offer, proffer (conditions)",,8,
1314,고려하다,Regard or respect,,8,
1315,과일,A fruit,,1,
1316,널리,Widely,,5,
1317,농촌,A farm village,,1,
1318,올라오다,Come up,,8,
1319,챙기다,"gather, collect, assemble your stuff — to amass (money, a collection)",,8,
1320,고르다,Choose or select,,8,
1321,바르다,"Spread, apply",,8,
1322,벌어지다,"To get serious, enlarge",,8,
1323,소재,"material, subject matter",,1,
1324,전망,"A view, prospect",,1,
1325,포기하다,"To give up, to abandon",,8,
1326,형성되다,"To be formed, made up",,8,
1327,고치다,"To fix, amend, change",,8,
1328,그림자,A shadow or a silhouette or an image,,1,
1329,눈,Snow,,1,
1330,다하다,"Finish, go through, be exhausted, run out of",,8,
1331,마침내,"Finally, in the end",,5,
1332,비교하다,To compare,,8,
1333,시월,October,,1,
1334,커지다,To become bigger,,8,
1335,한쪽,On one side,,1,
1336,검사,Investigation or inspection or examination or audit,,1,
1337,결론,A conclusion,,1,
1338,맡기다,Entrust sb with sth,,8,
1339,박물관,Museum,,1,
1340,소문,A rumor,,1,
1341,싣다,"To load, take (passengers)",,8,
1342,쌓다,To pile up,,8,
1343,어서,Quickly 2) kindly,,5,
1344,자녀,one’s children,,1,
1345,제목,"A subject, theme",,1,
1346,짓,Something you do,,1,
1347,판결,A judgment (from a judge),,1,
1348,팔월,August,,1,
1349,하얗다,White,,9,
1350,희망,"Hope, wish",,1,
1351,가방,Bag,,1,
1352,군대,Troops or an army,,1,
1353,그만큼,That much or to that extent,,5,
1354,무어,What? 무엇,,2,
1355,비로소,For the first time,,5,
1356,상대방,Conversation partner,,1,
1357,서구,Western Europe,,1,
1358,소유,Possession,,1,
1359,시골,Countryside,,1,
1360,실수,A mistake,,1,
1361,잘못되다,To turn out wrong,,8,
1362,치료,"Medical treatment, medical care",,1,
1363,폭,Width, range,,1
1364,호,"A pen name, a title; a number, an issue",,1,
1365,내밀다,To Push out,,8,
1366,맞다,"Be struck, beaten",,8,
1367,부문,"A section, department",,1,
1368,시리즈,Series,,1,
1369,임신,Pregnant,,1,
1370,잡히다,To be caught , to extinguish a fire,,8
1371,규정,Provision or stipulation,,1,
1372,그램,Gram,,1,
1373,밭,"A field, farm",,1,
1374,분석하다,To analyze,,8,
1375,식구,"Members of a family, your immediate family members (those you live with, preferably)",,1,
1376,아예,"From the very first, from the very beginning",,5,
1377,어찌,"How, in what way, by what means",,5,
1378,울리다,To ring (a bell) , to create an echo effect,,8
1379,작용하다,"To apply , use",,8,
1380,확실하다,"To be sure, certain",,9,
1381,개선,Renovation or improvement or betterment,,1,
1382,그릇,A vessel or receptacle,,1,
1383,글자,A letter or a character,,1,
1384,바람직하다,"Be desirable, advisable, to be appropriate, good",,9,
1385,연구하다,"To research, investigate",,8,
1386,착하다,To be nice,,9,
1387,개,A dog,,1,
1388,부동산,Real estate,,1,
1389,신화,A myth,,1,
1390,양,Miss ~,,1,
1391,점,"a spot, a blemish",,1,
1392,직업,"An occupation, calling",,1,
1393,거두다,Collect or gather up,,8,
1394,방학,School holidays,,1,
1395,범위,"Range, area",,1,
1396,조상,Ancestors,,1,
1397,철학,Philosophy,,1,
1398,검다,Black or dark,,9,
1399,곁,Neighborhood or vicinity,,1,
1400,근본적,"foundational, fundamental",,4,
1401,너희,You guys,,2,
1402,대형,"Large, full-sized",,1,
1403,문제점,The point at issue,,1,
1404,본격적,Exemplary,,4,
1405,불가능하다,Impossible,,9,
1406,충격,"An impact, a shock",,1,
1407,퍼지다,"Spread out, get broader",,8,
1408,금방,Just now or a moment ago,,5,
1409,남쪽,South side,,1,
1410,누르다,Press or push down,,8,
1411,미술,"art, the fine arts",,1,
1412,백성,The common people,,1,
1413,상당히,"fairly, considerably",,5,
1414,색깔,Color,,1,
1415,요리,Cooking,,1,
1416,유명하다,To be famous,,9,
1417,자네,You,,2,
1418,기13,1) energy 2) breath or wind,,1,
1419,꽤,Fairly or considerably,,5,
1420,외국인,"A foreigner, a foreign national",,1,
1421,한참,"For some time, for a while",,5,
1422,군사,Military affairs,,1,
1423,끊다,Cut off or sever,,8,
1424,넘어가다,Cross or go over,,8,
1425,담기다,Be put food in a bottle or for pickling,,8,
1426,마당,Garden,,1,
1427,부인,A woman,,1,
1428,서두르다,To hurry up,,8,
1429,지적,"Pointing out, indication",,1,
1430,짝,"One pair, one couple",,1,
1431,참으로,"really, indeed",,5,
1432,충분하다,"To be sufficient, ample",,9,
1433,기쁘다,To be happy,,9,
1434,숙제,Homework,,1,
1435,앞두다,Have a distance ahead,,8,
1436,예산,"An estimate, budget",,1,
1437,온갖,"All kinds, all sorts",,4,
1438,우려,"worry, anxiety, fear",,1,
1439,우산,An umbrella,,1,
1440,기쁨,Joy or delight,,1,
1441,깊이,Deepness,,1,
1442,꾸미다,Decorate,,8,
1443,늘리다,"Increase, multiply",,8,
1444,무릎,A knee,,1,
1445,발견되다,Be discovered,,8,
1446,보호하다,"protect, shelter, guard",,8,
1447,시스템,System,,1,
1448,이용,To use,,1,
1449,지난달,Last month,,1,
1450,지르다,"Holler, yell, scream",,8,
1451,참여,Participation,,1,
1452,걸음,Walking or stepping or a step,,1,
1453,겨우,Barely or narrowly. 간신히,,5,
1454,마르다,Become dry,,8,
1455,비교적,Comparatively,,5,
1456,애쓰다,Make efforts/pains to do sth,,8,
1457,올바르다,"Be honest, straightforward",,9,
1458,책상,On the desk,,1,
1459,춥다,To be cold,,9,
1460,흔하다,To be everywhere,,9,
1461,높아지다,Become high,,8,
1462,늙다,Grow old,,8,
1463,단위,"A unit, a monad",,1,
1464,무겁다,Heavy , a stuffy atmosphere,,9
1465,바람,"As a result, by the influence of",,1,
1466,상상,Imagination,,1,
1467,소득,"An income, earnings",,1,
1468,수도,"the capital city, e.g. Seoul, of a country",,1,
1469,역,"A part, a role",,1,
1470,인식하다,"recognition, cognizance",,8,
1471,자,A Chinese character,,1,
1472,침대,A bed,,1,
1473,권,A volume or a book,,1,
1474,맺다,"form, tie",,8,
1475,수요,"demand, requirement",,1,
1476,스타,Star,,1,
1477,시계,"clock, timekeeper, timepiece",,1,
1478,입술,The lips,,1,
1479,잎,A leaf,,1,
1480,중간,In the middle,,1,
1481,지도자,Leader,,1,
1482,천천히,Slowly,,5,
1483,구성하다,To organize or makeup,,8,
1484,대체로,"Generally, on the whole, for the most part",,5,
1485,몹시,Extremely,,5,
1486,문득,Suddenly,,5,
1487,스포츠,Sports,,1,
1488,위원장,A chairman of a committee,,1,
1489,저기,"That place, there",,2,
1490,특별하다,"To be special, extraordinary",,9,
1491,효과적,Effective,,4,
1492,가까이,Close,,5,
1493,낫다,Superior,,9,
1494,넘어서다,Pass over,,8,
1495,볶다,"fry, roast",,8,
1496,생산하다,"To produce, make",,8,
1497,언젠가,"One of these days, at some time in the future",,5,
1498,예술가,An artist,,1,
1499,의도,"An intention, an aim",,1,
1500,저지르다,"do,commit, spoil",,8,
1501,줄어들다,Dwindle away,,8,
1502,가만히,Quietly or softly,,5,
1503,건,A matter or an object or a case,,1,
1504,교회,Preach or moral instruction,,1,
1505,대구,Daegu city,,1,
1506,외부,"The exterior, the outside",,1,
1507,한두,One or two,,3,
1508,한때,"For a while, temporarily",,5,
1509,화,Anger (get angry),,1,
1510,흙,"earth, the soil",,1,
1511,가난하다,Poor,,9,
1512,고객,Customer,,1,
1513,과학자,Scientist,,1,
1514,관광,Sightseeing or tourism,,1,
1515,살아오다,To come out alive,,8,
1516,상대적,"relatively, correlatively",,4,
1517,수술,Surgery,,1,
1518,식품,Groceries,,1,
1519,연기,"performance, acting",,1,
1520,일월,January,,1,
1521,조,"article, clause",,1,
1522,첫째,The first,,3,
1523,회원,A member of a society,,1,
1524,도서관,Library,,1,
1525,들려오다,To echo (sound),,8,
1526,조금씩,"A little at a time, little by little",,5,
1527,조미료,"seasoning, condiment",,1,
1528,풀리다,To come loose,,8,
1529,강력하다,To be strong or powerful,,9,
1530,마늘,Garlic,,1,
1531,선물,"A present,gift",,1,
1532,습관,Habit,,1,
1533,아주머니,"An aunt, a respectable word for a married, older woman",,1,
1534,위험,Danger,,1,
1535,지하,Underground,,1,
1536,활용하다,"Utilize, make practical use of",,8,
1537,가꾸다,1) grow or cultivatea 2) dress oneself up,,8,
1538,고민,Worry or anguish,,1,
1539,맨,"bare,naked",,4,
1540,법률,"A law, statute",,1,
1541,상처,Wound,,1,
1542,좁다,Narrow,,9,
1543,지하철,Subway,,1,
1544,집다,Pick up,,8,
1545,현,"The present, the existence, actuality",,1,
1546,화면,Screen,,1,
1547,군,Mr.,,1,
1548,대표적,Representative,,4,
1549,만일,"If, suppose",,5,
1550,사회적,Socially,,4,
1551,생겨나다,"To begin, germinate",,8,
1552,이어,"vulgarity, slang",,5,
1553,주부,A wife,,1,
1554,진리,"A truth, a fact",,1,
1555,태양,The sun,,1,
1556,틀림없다,No mistaking it,,9,
1557,프로,Professional,,1,
1558,피다,To bloom ( a flower ~),,8,
1559,공급,Supply or provision,,1,
1560,도로,"A road, way",,1,
1561,잘못,"wrong, mistake",,1,
1562,지다,Carry (on the back),,8,
1563,채우다,"To fill up, complete, fulfill",,8,
1564,균형,Balance or equilibrium,,1,
1565,기본적,Fundamental or basic,,4,
1566,부족,A tribe,,1,
1567,사무실,Office,,1,
1568,이월,February,,1,
1569,일요일,Sunday,,1,
1570,접근,Proximity,,1,
1571,지켜보다,"Watch, stare at ( wait on some situation)",,8,
1572,개성,Individuality or personality,,1,
1573,달리다,"Hang, be suspended",,8,
1574,더하다,Get worse,,8,
1575,무너지다,Collapse,,8,
1576,보통,Usually,,5,
1577,쓰다,To wear (a hat),,8,
1578,이러다,do/say think this way,,8,
1579,일어서다,"To rise to one’s feet, stand up",,8,
1580,죄,"A crime, a sin",,1,
1581,참,In reality,,5,
1582,총장,"The president, the chancellor (university’s)",,1,
1583,핵심,"The kernel, the core",,1,
1584,후반,The latter/second half,,1,
1585,단순히,Simply,,5,
1586,달려가다,"Run, rush, dash",,8,
1587,방문,A visit,,1,
1588,불만,Dissatisfaction,,1,
1589,불편하다,To be unpleasant,,9,
1590,종,"A sort, kind, species",,1,
1591,피,Blood (is flowing),,1,
1592,강,River,,1,
1593,관객,Spectator,,1,
1594,막,Just now,,5,
1595,밀리미터,Millimeter,,1,
1596,비싸다,To be expensive,,9,
1597,숫자,"A figure, number",,1,
1598,열,Heat,,1,
1599,왼쪽,The left side,,1,
1600,중세,The middle ages,,1,
1601,택시,Taxi,,1,
1602,통합,"Unity, unification",,1,
1603,계산,Calculation,,1,
1604,꼬리,Tail,,1,
1605,놀랍다,To be surprising,,9,
1606,양식,"A mode, a style, an order, a modality",,1,
1607,예전,"Old days, former days",,1,
1608,전기,Electricity,,1,
1609,주식,Stock,,1,
1610,틀리다,"To be turned, warped 2) go wrong, be mistaken",,8,
1611,끊임없이,Constantly or unceasingly,,5,
1612,모델,Model,,1,
1613,붓다,"to pour (water, liquid)",,8,
1614,상식,Common sense,,1,
1615,상표,"trademark, brand",,1,
1616,시원하다,"Be cool, refreshing",,9,
1617,아니하다,To be/do not,,8,
1618,의식하다,"Be conscious of, be aware of",,8,
1619,고모,A paternal aunt,,1,
1620,궁금하다,To wonder or be curious about,,9,
1621,민주화,Democratization,,1,
1622,보도,"news, report",,1,
1623,살피다,Take a good look at,,8,
1624,약하다,To be weak,,9,
1625,잘못하다,To make a mistake,,8,
1626,잡지,A magazine,,1,
1627,거부하다,Deny or reject or disapprove,,8,
1628,공무원,Public servant,,1,
1629,그만두다,Stop or discontinue,,8,
1630,댁,You and your family,,2,
1631,반갑다,Be happy,,9,
1632,부족,"lack, want (scarcity, insufficiency)",,1,
1633,실시,"execution, enforcement",,1,
1634,운명,"fate, fortune",,1,
1635,재정,"finances, economy",,1,
1636,차라리,"rather, preferably",,5,
1637,학자,Scholar,,1,
1638,다녀오다,Drop in for a short visit,,8,
1639,달다,"to attach, fix",,8,
1640,대규모,On a large scale,,1,
1641,동,the same,,4,
1642,민간,"civil, private",,1,
1643,법원,Court of justice,,1,
1644,비디오,Video,,1,
1645,사실상,"Actually, in truth",,5,
1646,아끼다,"grudge, spare",,8,
1647,이쪽,"This side, our way",,2,
1648,지대,"Zone, belt, district",,1,
1649,판단하다,To make a conclusion,,8,
1650,행복하다,To be happy,,9,
1651,굽다,To roast or bake,,8,
1652,기름,Oil or fat,,1,
1653,실천하다,"To practice, put in theory",,8,
1654,쏟아지다,To pour out,,8,
1655,연습,"practice, exercise",,1,
1656,오른쪽,The right side,,1,
1657,용어,Technical terminology,,1,
1658,익히다,Habituate oneself to,,8,
1659,지도,"Map, atlas",,1,
1660,지위,"Position, status",,1,
1661,풍부하다,"To be abundant, copious, plentiful",,9,
1662,화장실,Bathroom,,1,
1663,기억하다,To recall or remember,,8,
1664,식량,"food, provisions",,1,
1665,실험,"An experiment, test",,1,
1666,용기,Bravery,,1,
1667,토론,"A debate, discussion",,1,
1668,핵,"A nucleus, core",,1,
1669,고급,High rank or first class,,1,
1670,고생,A hard life or privation,,1,
1671,미치다,Be crazy,,8,
1672,밟다,Step on,,8,
1673,상당하다,"Be proper, suitable",,9,
1674,섞다,"blend, mix",,8,
1675,수석,The top seat,,1,
1676,없애다,"Remove, get rid of, do away with",,8,
1677,이뤄지다,To make something for a specific purpose,,8,
1678,적절하다,Appropriateness,,9,
1679,정상,"The top, summit",,1,
1680,제사,A holiday ceremony,,1,
1681,주말,Weekend,,1,
1682,지혜,"Wisdom, wits",,1,
1683,참새,A sparrow,,1,
1684,화장품,"Makup, cosmetics",,1,
1685,굵다,Be thick or fat,,9,
1686,깨끗이,Clean or neatly,,5,
1687,낡다,Clear,,9,
1688,내년,Next year,,1,
1689,농산물,Agricultural products,,1,
1690,눈앞,Before one’s eyes,,1,
1691,대학생,University student,,1,
1692,방문하다,To visit,,8,
1693,붉다,"Be red, scalet",,9,
1694,사고,"thought, contemplation",,1,
1695,순서,"system, order, sequence",,1,
1696,아무래도,"Never on any account, no matter what",,5,
1697,연구소,A research institute,,1,
1698,올,This year,,4,
1699,위대하다,"To be great, mighty, grand",,9,
1700,이사,House-moving,,1,
1701,지배하다,"Control, direct",,8,
1702,틈,"A crack, gap, opening",,1,
1703,가령,1) For example 2) supposing or admitting,,5,
1704,거대하다,Huge or gigantic or enormous,,9,
1705,닫다,To close,,8,
1706,매달리다,"Be suspended, to be hanging down (from) ; to stick to a job, to persevere",,8,
1707,생일,A birthday,,1,
1708,섬,An island,,1,
1709,이하,"Less than, below",,1,
1710,참석하다,"To attend, take part in",,8,
1711,토대,"A foundation, a base",,1,
1712,해결,"Solution, settlement",,1,
1713,행복,Happiness,,1,
1714,걸어가다,To go on foot or walk,,8,
1715,근로자,Laborer,,1,
1716,글쎄,Now or well or let me see,,6,
1717,목숨,Life,,1,
1718,백화점,Department store,,1,
1719,변화하다,"To change, vary",,8,
1720,병,A bottle,,1,
1721,빠져나가다,Get/go out of here,,8,
1722,안녕하다,To say hello,,9,
1723,여론,"Public opinion, public sentiment towards sth",,1,
1724,의복,"Clothes, garments",,1,
1725,체조,Gymnastics,,1,
1726,출발하다,"To depart, leave",,8,
1727,현실적,"Down to earth, Realistic",,4,
1728,화제,Subject of conversation,,1,
1729,결정되다,To become decided,,8,
1730,고양이,Kitten,,1,
1731,공격,Attack,,1,
1732,물가,Prices of products,,1,
1733,민주주의,Democracy,,1,
1734,불안,"uneasiness, anxiety",,1,
1735,소중하다,"To be important, valuable",,9,
1736,여유,"reserve, surplus",,1,
1737,의문,"A question, a doubt",,1,
1738,중학교,Middle school,,1,
1739,킬로미터,Kilometer,,1,
1740,파도,"Waves, billows",,1,
1741,흰색,"gray, ash color",,1,
1742,가수,Singer,,1,
1743,단,"Only one, alone",,4,
1744,방송국,Broadcasting station,,1,
1745,빛나다,"shine, glitter",,8,
1746,숨다,"To be in hiding, to hide oneself",,8,
1747,실리다,"To be printed,recorded; to be loaded onto a truck (luggage)",,8,
1748,압력,"pressure, stress",,1,
1749,예금,Deposit money,,1,
1750,예상되다,"To expect, anticipate",,8,
1751,입학,Admission into school,,1,
1752,증권,"securities, document,deed",,1,
1753,직후,Immediately after,,1,
1754,차량,"vehicles, cars",,1,
1755,출산,Child birth,,1,
1756,물다,"bite, put in the mouth",,8,
1757,선진국,A developed country,,1,
1758,약,Medicine,,1,
1759,어느새,"In no time, quickly",,5,
