Number,Korean,Translation,Translation2,WordType,ExampleSentence,ExampleSentenceTranslation
1082,오염,"Contamination, pollution",,1,환경 오염이 심각한 문제입니다.,Environmental pollution is a serious problem.
1083,자전거,Bicycle,,1,자전거를 타고 출근해요.,I ride a bicycle to work.
1084,참여하다,"To participate in, take part in",,8,많은 학생들이 봉사 활동에 참여했습니다.,Many students participated in the volunteer activity.
1085,탓,"fault,blame",,1,실패한 것은 모두 내 탓이에요.,The failure is all my fault.
1086,푸르다,"To be blue, to be green",,9,가을인데도 나무가 아직 푸르러요.,Even though it's autumn the trees are still green.
1087,걔,Child,,2,걔가 오늘 학교에 안 왔어요.,That kid didn't come to school today.
1088,그래,Yes or that’s right,,6,"그래, 네 말이 맞아.","Yes, you're right."
1089,목,The neck,,1,하루 종일 컴퓨터를 해서 목이 아파요.,My neck hurts from using the computer all day.
1090,발표,Announcement,,1,내일 중요한 발표가 있어요.,There is an important announcement tomorrow.
1091,범죄,A crime,,1,범죄를 예방하기 위해 노력해야 합니다.,We must work to prevent crime.
1092,위,"Position, grade, rank",,1,그 학생은 반에서 1위를 했어요.,That student ranked first in the class.
1093,흔들다,"Shake, sway",,8,바람이 나뭇가지를 흔들고 있어요.,The wind is shaking the tree branches.
1094,기초,The foundation,,1,기초가 튼튼해야 건물이 안전합니다.,The building is safe when the foundation is solid.
1095,논리,Logic,,1,그의 주장에는 논리가 부족합니다.,His argument lacks logic.
1096,뽑다,"Pull out, draw",,8,이가 아파서 치과에서 이를 뽑았어요.,My tooth hurt so I had it pulled at the dentist.
1097,피우다,"To make, build, kindle",,8,담배를 피우면 건강에 나빠요.,Smoking is bad for your health.
1098,감각,Sense or sensation or feeling,,1,그녀는 패션 감각이 뛰어나요.,She has an excellent sense of fashion.
1099,미리,Beforehand,,5,미리 예약하지 않으면 자리가 없어요.,If you don't reserve beforehand there are no seats.
1100,부족하다,"Be short of, lack",,9,시간이 부족해서 다 못 끝냈어요.,I couldn't finish everything because time was short.
1101,저희,We,,2,저희 회사는 서울에 있습니다.,Our company is located in Seoul.
1102,진행되다,"To have progressed, be advanced",,8,회의가 순조롭게 진행되고 있습니다.,The meeting is progressing smoothly.
1103,교통,Traffic or transportation,,1,서울의 교통이 매우 복잡해요.,The traffic in Seoul is very congested.
1104,기구,Structure or framework,,1,국제 기구에서 일하고 싶어요.,I want to work at an international organization.
1105,법,"A way, a method",,1,김치 만드는 법을 배우고 싶어요.,I want to learn the method for making kimchi.
1106,오랜,For a long time,,4,오랜 친구를 오늘 다시 만났어요.,I met an old friend again today.
1107,젊은이,Young person,,1,요즘 젊은이들은 창업에 관심이 많아요.,Young people these days are very interested in starting businesses.
1108,후보,"candidature,candidacy",,1,대통령 후보가 세 명이에요.,There are three presidential candidates.
1109,거리,A road or street,,1,거리에 사람들이 많았어요.,There were many people on the street.
1110,과제,"A subject or a thesis or homework, an exercise/a problem",,1,오늘까지 과제를 제출해야 해요.,I have to submit my homework by today.
1111,근거,Basis or foundation,,1,그 주장에는 과학적 근거가 있습니다.,That claim has a scientific basis.
1112,기록하다,To record and write down,,8,일기장에 매일 하루를 기록해요.,I record each day in my diary every day.
1113,다가오다,Approach,,8,시험 날짜가 점점 다가오고 있어요.,The exam date is gradually approaching.
1114,불다,Blow,,8,밖에서 바람이 세게 불고 있어요.,The wind is blowing hard outside.
1115,시각,angle/point of view. 관점.,,1,다양한 시각에서 문제를 바라봐야 합니다.,You need to look at the problem from various perspectives.
1116,이끌다,"To guide,lead",,8,그가 팀을 승리로 이끌었어요.,He led the team to victory.
1117,종합,Synthesis,,1,여러 의견을 종합하여 결정했습니다.,We made a decision by synthesizing various opinions.
1118,한글,Korean writing system,,1,한글은 세종대왕이 만들었습니다.,Hangeul was created by King Sejong.
1119,가을,Autumn or fall,,1,가을에는 단풍이 아름다워요.,The autumn leaves are beautiful in fall.
1120,개발하다,Develop or exploit or open up to development,,8,새로운 기술을 개발하는 데 3년이 걸렸어요.,It took three years to develop the new technology.
1121,내일,Tomorrow,,1,내일 날씨가 좋을 거예요.,The weather will be nice tomorrow.
1122,매일,Every day,,1,저는 매일 아침 운동을 해요.,I exercise every morning.
1123,손가락,a finger,,1,손가락을 다쳐서 글을 쓸 수 없어요.,I can't write because I hurt my finger.
1124,수단,"means,way",,1,목적을 위해 어떤 수단이든 사용했어요.,They used any means for their purpose.
1125,자,Well!!,,6,"자, 이제 시작합시다!","Well, let's start now!"
1126,자유롭다,To be free,,9,주말에는 자유롭게 시간을 보내요.,I spend time freely on weekends.
1127,적극적,Positively,,4,그녀는 적극적인 태도로 일에 임합니다.,She approaches work with a positive attitude.
1128,판매,"Sale, selling",,1,이 가게는 유기농 채소를 판매합니다.,This store sells organic vegetables.
1129,형성,Formation,,1,좋은 습관의 형성이 중요합니다.,The formation of good habits is important.
1130,기울이다,Tip or slant or incline,,8,선생님의 말씀에 귀를 기울이세요.,Listen carefully to the teacher's words.
1131,길이,Length or extent,,1,이 다리의 길이가 2킬로미터예요.,The length of this bridge is 2 kilometers.
1132,장면,"A scene, situation",,1,영화의 마지막 장면이 인상적이었어요.,The last scene of the movie was impressive.
1133,점차,"gradually,in steps",,5,경제가 점차 회복되고 있습니다.,The economy is gradually recovering.
1134,톤,A ton,,1,그 트럭은 5톤까지 실을 수 있어요.,That truck can carry up to 5 tons.
1135,관련되다,Be connected or related to,,8,이 사건은 정치와 관련되어 있습니다.,This incident is related to politics.
1136,급,Class or grade or rank,,1,이 호텔은 5성급입니다.,This hotel is a 5-star grade.
1137,나머지,"The rest, the remainder ; as a result of the excess of, as a result",,1,하나만 가지고 나머지는 돌려주세요.,Take one and return the rest please.
1138,날씨,Weather,,1,오늘 날씨가 정말 좋네요.,The weather is really nice today.
1139,더불다,"Join in, do together",,8,친구와 더불어 여행을 떠났어요.,I set off on a trip together with a friend.
1140,의사,"A doctor, a physician",,1,의사 선생님이 약을 처방해 주셨어요.,The doctor prescribed medicine for me.
1141,개방,Open or throw open,,1,도서관이 주말에도 개방됩니다.,The library is open on weekends too.
1142,건강하다,To be healthy,,9,할아버지는 아흔 살인데도 건강하세요.,My grandfather is healthy even though he is ninety years old.
1143,미래,Future,,1,미래를 위해 지금 열심히 공부해야 해요.,You have to study hard now for the future.
1144,앞서,"Before, previously 2) in anticipation,beforehand",,5,"앞서 말씀드린 것처럼, 일정이 변경되었습니다.","As I mentioned before, the schedule has been changed."
1145,여러분,"You (plural, to address a group at speech time)",,2,"여러분, 조용히 해 주세요.","Everyone, please be quiet."
1146,왜냐하면,Because,,5,왜냐하면 오늘 비가 올 예정이기 때문이에요.,Because it is expected to rain today.
1147,인구,Population,,1,서울의 인구는 약 천만 명이에요.,The population of Seoul is about ten million.
1148,기대하다,To expect or look forward to,,8,좋은 결과를 기대하고 있어요.,I am looking forward to good results.
1149,네,You,,2,네가 좋아하는 음식이 뭐야?,What is the food you like?
1150,도착하다,To arrive,,8,공항에 무사히 도착했습니다.,I arrived safely at the airport.
1151,병,Sickness,,1,병이 나으려면 충분히 쉬어야 해요.,You need to rest enough to recover from sickness.
1152,소프트웨어,Software,,1,새 소프트웨어를 설치했어요.,I installed new software.
1153,흘리다,"spill,shed (tears,blood)",,8,감동적인 영화를 보고 눈물을 흘렸어요.,I shed tears after watching a moving movie.
1154,반응,Reaction,,1,관객들의 반응이 매우 좋았어요.,The audience's reaction was very positive.
1155,주인공,"The head of a family, the hero/heroine",,1,이 소설의 주인공은 열여섯 살 소녀예요.,The heroine of this novel is a sixteen-year-old girl.
1156,당연하다,"Be natural, be no wonder",,9,부모님을 공경하는 것은 당연해요.,It is natural to respect your parents.
1157,비판,"criticism,a comment",,1,그의 작품은 많은 비판을 받았습니다.,His work received a lot of criticism.
1158,빌리다,To lend,,8,도서관에서 책을 빌렸어요.,I borrowed a book from the library.
1159,세대,Generation,,1,젊은 세대와 어른 세대의 생각이 다릅니다.,The younger generation and the older generation think differently.
1160,축구,Football,,1,한국 사람들은 축구를 좋아해요.,Korean people like football.
1161,형님,"The respectful, proper way a man refers to an older friend",,1,"형님, 오랜만에 뵙겠습니다.","Elder brother, it's been a long time since I last saw you."
1162,놓이다,Be put on sth else (2) to become peaceful,,8,책상 위에 편지가 놓여 있었어요.,A letter was placed on the desk.
1163,당장,"On the spot, immediately",,5,당장 여기서 나가세요.,Get out of here immediately.
1164,무렵,The time when,,1,해가 질 무렵 산책을 나갔어요.,I went for a walk around the time the sun was setting.
1165,밝다,To be promising,,9,그 학생의 미래가 밝아 보여요.,That student's future looks promising.
1166,사물,"objects,things",,1,아이들은 사물에 대한 호기심이 많아요.,Children have a lot of curiosity about objects.
1167,일반적,"Universal, general",,4,일반적으로 한국 사람들은 밥을 먹습니다.,Generally Korean people eat rice.
1168,장소,Place,,1,모임 장소를 아직 정하지 못했어요.,We haven't decided on the meeting place yet.
1169,곱다,Beautiful,,9,할머니의 마음씨가 곱습니다.,Grandmother has a beautiful heart.
1170,바닥,Floor,,1,바닥이 미끄러우니 조심하세요.,Be careful because the floor is slippery.
1171,새끼,Baby animal,,1,고양이가 새끼를 네 마리 낳았어요.,The cat gave birth to four kittens.
1172,생각되다,To come to think sth,,8,그의 의견이 옳다고 생각됩니다.,I have come to think his opinion is correct.
1173,서비스,Service,,1,이 식당의 서비스가 매우 좋아요.,The service at this restaurant is very good.
1174,선택하다,To choose,,8,두 가지 중 하나를 선택하세요.,Choose one of the two options.
1175,심다,"plant,sow (a tree)",,8,마당에 나무를 심었어요.,I planted a tree in the yard.
1176,적다,Write down,,8,중요한 내용을 수첩에 적었어요.,I wrote down the important information in my notebook.
1177,코,The nose,,1,감기에 걸려서 코가 막혔어요.,I have a stuffy nose because I caught a cold.
1178,간단하다,To be simple,,9,이 요리는 만들기가 간단해요.,This dish is simple to make.
1179,고등학교,A senior high school,,1,저는 고등학교 때 축구를 했어요.,I played football when I was in high school.
1180,공개,"opening to the public, making public",,1,정부가 정보를 공개했습니다.,The government made the information public.
1181,교실,Classroom,,1,교실에 학생들이 30명 있어요.,There are 30 students in the classroom.
1182,스스로,"By oneself, do it alone",,5,이 문제는 스스로 해결해 보세요.,Try to solve this problem by yourself.
1183,견디다,Endure or bear,,8,힘든 시간을 잘 견뎌 냈어요.,I endured the difficult times well.
1184,기사,An article or an account,,1,오늘 신문 기사를 읽었어요.,I read a newspaper article today.
1185,막히다,Be stopped up,,8,퇴근 시간에 길이 많이 막혀요.,The road gets very congested during rush hour.
1186,매체,"A medium,medias",,1,소셜 매체의 영향력이 커지고 있어요.,The influence of social media is growing.
1187,별,A star,,1,오늘 밤에 별이 참 많이 보여요.,There are so many stars visible tonight.
1188,복잡하다,Be complicated,,9,서울의 지하철 노선도가 복잡해요.,Seoul's subway map is complicated.
1189,뿌리다,"sprinkle,scatter",,8,꽃에 물을 뿌렸어요.,I sprinkled water on the flowers.
1190,영역,Territory,,1,이 연구는 새로운 영역을 개척했습니다.,This research pioneered a new territory.
1191,체험,An experience,,1,한국 문화 체험 프로그램에 참가했어요.,I joined a Korean cultural experience program.
1192,구속,To arrest or put in detention,,1,경찰이 범인을 구속했습니다.,The police arrested the criminal.
1193,어쩌면,"(1) it is possible that 아마도 2) how on earth, how the hell",,5,어쩌면 그가 맞을 수도 있어요.,It is possible that he might be right.
1194,극복하다,To overcome or surmount,,8,어려움을 극복하고 성공했습니다.,I overcame the difficulties and succeeded.
1195,불법,Illegal,,1,불법 주차를 하면 벌금을 내야 해요.,You have to pay a fine for illegal parking.
1196,비밀,A secret,,1,이것은 우리만의 비밀이에요.,This is a secret just between us.
1197,색,Color,,1,무슨 색을 좋아하세요?,What color do you like?
1198,쓰이다,"To be used, to be utilized/employed",,8,이 도구는 요리할 때 쓰여요.,This tool is used when cooking.
1199,일정하다,"To be regular, established, uniform ; changeless, constant, certain, definite ; invariable (mathematics)",,9,매일 일정한 시간에 운동해요.,I exercise at a regular time every day.
1200,다지다,"Make sure, to harden oneself, firm up one\\`s will",,8,새해 결심을 다시 한번 다졌어요.,I firmed up my New Year's resolution once more.
1201,아까,A little while ago,,5,아까 전화가 왔는데 못 받았어요.,A phone call came a little while ago but I could not answer it.
1202,알맞다,"To fit, be fitting, suitable",,9,이 옷은 제 체형에 알맞아요.,These clothes fit my body type well.
1203,이념,"An idea, a doctrine, ideology",,1,정치적 이념의 차이로 갈등이 생겼다.,Conflict arose due to differences in political ideology.
1204,희다,"White, fair",,9,그녀는 피부가 눈처럼 희다.,Her skin is as white as snow.
1205,가리키다,Point to or indicate,,8,선생님이 지도에서 서울을 가리켰다.,The teacher pointed to Seoul on the map.
1206,모시다,Attend on,,8,할머니를 모시고 병원에 갔습니다.,I accompanied my grandmother to the hospital.
1207,발달,"Development, growth",,1,기술의 발달로 생활이 편리해졌다.,Life has become convenient due to the development of technology.
1208,수많다,Many and many,,9,수많은 사람들이 광장에 모였다.,Countless people gathered in the square.
1209,치르다,"Pay off, pay one’s bill",,8,시험을 치르고 나니 마음이 편했다.,I felt relieved after taking the exam.
1210,평화,Peace,,1,우리는 모두 평화를 원합니다.,We all want peace.
1211,공사,Construction work or engineering work,,1,옆 건물에서 공사가 한창이다.,Construction is in full swing at the building next door.
1212,박사,Doctor,,1,그는 물리학 박사 학위를 받았다.,He received a doctoral degree in physics.
1213,성,"a sex (male or female), a sexual gender",,1,성에 관계없이 모두 평등하다.,Everyone is equal regardless of gender.
1214,전문가,A specialist,,1,이 분야의 전문가에게 상담을 받았다.,I received consultation from a specialist in this field.
1215,단지,"Simple, merely",,5,단지 궁금해서 물어본 것뿐이에요.,I asked merely out of curiosity.
1216,말씀하다,Speak,,8,할아버지께서 중요한 이야기를 말씀하셨다.,My grandfather spoke about an important matter.
1217,무용,"dancing,a dance",,1,그녀는 어릴 때부터 무용을 배웠다.,She learned dancing from a young age.
1218,불리다,To be called,,8,이 지역은 한국의 제주도로 불린다.,This area is called the Jeju Island of Korea.
1219,싸움,A fight,,1,형제 사이에 싸움이 자주 일어났다.,Fights frequently occurred between the siblings.
1220,자꾸,"Constantly, repeatedly",,5,자꾸 같은 실수를 반복하지 마세요.,Do not keep repeating the same mistake.
1221,차리다,"Make ready,prepare",,8,어머니가 아침 식사를 차려 주셨다.,My mother prepared breakfast for us.
1222,해외,"Abroad, foreign countries",,1,해외여행을 가려면 여권이 필요합니다.,You need a passport to travel abroad.
1223,그리,So or to that extent,,5,날씨가 그리 춥지 않았다.,The weather was not that cold.
1224,문화재,Cultural assets,,1,문화재를 보호하는 것은 우리의 의무입니다.,Protecting cultural assets is our duty.
1225,미소,Smile,,1,그녀는 따뜻한 미소를 지었다.,She gave a warm smile.
1226,보통,The normal,,1,보통 아침 일곱 시에 일어납니다.,I usually wake up at seven in the morning.
1227,식당,Restaurant,,1,점심에 학교 앞 식당에서 먹자.,Let us eat at the restaurant in front of the school for lunch.
1228,의미하다,"To mean, signify",,8,이 결과는 성공을 의미한다.,This result signifies success.
1229,이래,"Since, after that, hereafter",,5,졸업한 이래 한 번도 만나지 못했다.,I have not met them once since graduation.
1230,체육,Physical education,,1,오늘 체육 시간에 축구를 했다.,We played soccer during physical education class today.
1231,구성되다,To be organized,,8,이 위원회는 열 명으로 구성되어 있다.,This committee is organized with ten members.
1232,독특하다,"Unique, characteristic, distinctive, peculiar, specific",,9,그 식당은 분위기가 매우 독특하다.,That restaurant has a very unique atmosphere.
1233,사례,"thanks,gratitude",,1,성공적인 사례를 참고하여 계획을 세웠다.,We made a plan by referring to successful cases.
1234,소개하다,"To introduce,present",,8,친구를 부모님께 소개했다.,I introduced my friend to my parents.
1235,잘되다,To turn out well,,8,사업이 잘되어서 기분이 좋다.,I am in a good mood because the business is going well.
1236,추진하다,"To propel, drive forward",,8,정부가 새로운 정책을 추진하고 있다.,The government is driving forward a new policy.
1237,칠월,Month of July,,1,칠월에는 장마가 시작됩니다.,The rainy season starts in July.
1238,틀,"A frame, framework; mold",,1,사고의 틀을 바꿔야 합니다.,You need to change your framework of thinking.
1239,평균,Average,,1,이번 시험의 평균 점수는 75점이었다.,The average score on this exam was 75 points.
1240,훈련,Training,,1,군인들이 매일 힘든 훈련을 받는다.,Soldiers undergo tough training every day.
1241,흐름,"Flowing, a stream/current",,1,시대의 흐름에 맞춰 변화해야 한다.,We must change in accordance with the current of the times.
1242,십이월,December,,1,십이월에는 크리스마스가 있다.,Christmas is in December.
1243,쌓이다,Be piled/heaped up,,8,책상 위에 서류가 쌓여 있다.,Documents are piled up on the desk.
1244,이익,Profit,,1,회사의 이익이 작년보다 증가했다.,The company profit increased compared to last year.
1245,쥐다,"To hold,seize",,8,아이가 엄마의 손을 꼭 쥐었다.,The child held the mother hand tightly.
1246,컵,Cup,,1,커피 한 컵 마실래요?,Would you like to have a cup of coffee?
1247,게다가,In addition,,5,게다가 날씨까지 나빠서 외출을 못 했다.,In addition the weather was bad so I could not go out.
1248,끓이다,Boil or heat or make hot,,8,라면을 끓여서 먹었다.,I boiled ramen and ate it.
1249,논문,"Dissertations , an academic paper (these are 2 separate meanings)",,1,졸업 논문을 쓰느라 바쁘다.,I am busy writing my graduation thesis.
1250,멈추다,Stop,,8,비가 갑자기 멈추었다.,The rain suddenly stopped.
1251,사용되다,"Be used, be employed",,8,이 건물은 현재 사무실로 사용되고 있다.,This building is currently being used as an office.
1252,오랫동안,For a long time,,5,오랫동안 기다렸지만 아무도 오지 않았다.,I waited for a long time but nobody came.
1253,위기,"A crisis,an emergency situation",,1,회사가 심각한 경영 위기에 처했다.,The company faced a serious management crisis.
1254,정당,A political party,,1,새로운 정당이 창당되었다.,A new political party was founded.
1255,종이,Paper,,1,종이에 이름을 적어 주세요.,Please write your name on the paper.
1256,찾아가다,To go to a place to meet somebody,,8,친구 집을 찾아갔다.,I went to visit my friend house.
1257,폭력,"voilent,brute force",,1,어떤 상황에서도 폭력은 정당화될 수 없다.,Violence cannot be justified in any situation.
1258,혹시,Sometimes,,5,혹시 시간이 있으면 만날 수 있을까요?,By any chance could we meet if you have time?
1259,늘다,"Increase, gain",,8,한국어 실력이 많이 늘었다.,My Korean skills have increased a lot.
1260,양,"quantity,volume",,1,음식의 양이 너무 많다.,The quantity of food is too much.
1261,절차,"process,formalities; 수속",,1,입학 절차가 복잡하다.,The admission process is complicated.
1262,계시다,(honorofic) to stay or reside,,8,어머니는 지금 집에 계신다.,My mother is at home right now.
1263,공기,Air,,1,산에서는 공기가 맑다.,The air is clean in the mountains.
1264,닿다,"To reach, get to",,8,손이 닿지 않는 곳에 물건이 있다.,The item is in a place my hand cannot reach.
1265,속하다,"Belong to, be affiliated with",,8,저는 마케팅 부서에 속해 있습니다.,I belong to the marketing department.
1266,올림픽,Olympic,,1,올림픽에 출전하는 것이 그의 꿈이다.,Competing in the Olympics is his dream.
1267,이외,"Except, apart from",,1,이것 이외에 다른 방법이 있을까요?,Is there another method apart from this?
1268,재미,"amusement,enjoyment",,1,이 영화는 재미가 없다.,This movie has no fun.
1269,제공하다,"offer,proffer",,8,호텔에서 무료 조식을 제공한다.,The hotel offers a free breakfast.
1270,증가하다,"increase,rise,grow",,8,인구가 빠르게 증가하고 있다.,The population is increasing rapidly.
1271,기대,Expectation,,1,부모님의 기대에 부응하고 싶다.,I want to live up to my parents expectations.
1272,식물,"food,provisions",,1,방에 식물을 키우면 공기가 좋아진다.,Growing plants in the room improves the air.
1273,옛,"Old, ancient",,4,옛 친구를 오랜만에 만났다.,I met an old friend after a long time.
1274,외치다,"To shout, scream",,8,그는 큰 소리로 이름을 외쳤다.,He shouted the name loudly.
1275,적어도,At the least,,5,적어도 하루에 한 시간은 운동해야 한다.,You should exercise at least one hour a day.
1276,편하다,Untroubled from cares,,9,이 의자는 앉기에 매우 편하다.,This chair is very comfortable to sit in.
